Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Distance_by_year,age,eng_cap_diff
55.0,139.0,2000,11.0,308000.0,2000.0,0.0,1.0,2400.0,14000.0,24,358.23393158459885
49.0,735.0,2001,11.0,11111.0,2200.0,0.0,1.0,4300.0,529.0952380952381,23,558.2339315845988
5.0,107.0,2006,10.0,206352.0,1900.0,0.0,1.0,7150.0,12897.0,18,71.10537614336386
49.0,735.0,2013,6.0,298545.0,2200.0,0.0,1.0,9090.0,33171.666666666664,11,396.38093575419
76.0,399.0,2012,10.0,173000.0,1400.0,2.0,0.0,8399.0,17300.0,12,571.1053761433639
54.0,567.0,2012,3.0,92690.0,1598.0,4.0,0.0,11000.0,9269.0,12,406.0707277187244
54.0,404.0,2014,3.0,119000.0,1600.0,4.0,0.0,12999.0,14875.0,10,404.0707277187244
55.0,408.0,1990,10.0,200000.0,1389.0,4.0,1.0,800.0,6250.0,34,582.1053761433639
54.0,404.0,2021,9.0,0.0,1000.0,4.0,0.0,19900.0,0.0,3,1380.7225566064776
6.0,750.0,2005,3.0,220000.0,3000.0,0.0,0.0,5200.0,12941.176470588236,19,995.9292722812756
6.0,15.0,2015,4.0,197000.0,1500.0,0.0,1.0,11900.0,28142.85714285714,9,4.353517675883722
22.0,555.0,2001,4.0,191000.0,1200.0,4.0,1.0,1450.0,9095.238095238095,23,295.6464823241163
75.0,29.0,1992,10.0,92354.0,1500.0,3.0,1.0,2750.0,3078.4666666666667,32,471.1053761433639
76.0,129.0,1996,6.0,123456.0,2000.0,3.0,1.0,1950.0,4748.307692307692,28,196.38093575419
55.0,139.0,2010,10.0,212679.0,1248.0,0.0,1.0,5300.0,17723.25,14,723.1053761433639
6.0,48.0,1988,10.0,240000.0,2400.0,0.0,1.0,1200.0,7058.823529411765,36,428.89462385663614
16.0,275.0,2012,6.0,70000.0,1500.0,0.0,1.0,6800.0,7000.0,12,303.61906424581
66.0,312.0,2009,10.0,315836.0,1400.0,3.0,1.0,3799.0,24295.07692307692,15,571.1053761433639
49.0,151.0,2010,4.0,225240.0,1700.0,3.0,0.0,7699.0,18770.0,14,204.3535176758837
23.0,475.0,2017,4.0,128640.0,2000.0,2.0,0.0,13700.0,25728.0,7,504.3535176758837
60.0,467.0,2015,6.0,150000.0,1500.0,0.0,0.0,7800.0,21428.571428571428,9,303.61906424581
55.0,139.0,2005,4.0,300002.0,1600.0,3.0,1.0,3850.0,17647.176470588234,19,104.35351767588372
6.0,48.0,2021,10.0,4226.0,2997.0,4.0,0.0,35600.0,4226.0,3,1025.894623856636
16.0,441.0,2018,10.0,45617.0,1000.0,4.0,1.0,7699.0,11404.25,6,971.105376143364
76.0,691.0,2017,9.0,71000.0,2000.0,0.0,0.0,23900.0,14200.0,7,380.7225566064776
5.0,578.0,2017,10.0,65000.0,4000.0,4.0,0.0,79999.0,13000.0,7,2028.894623856636
76.0,520.0,1995,11.0,270000.0,1800.0,3.0,1.0,2500.0,10000.0,29,158.23393158459885
